Image Path,Width,Height,Weeds,x,y,w,h
20210904_iPhoneSE_YL_14.jpg,3024,4032,Waterhemp,1117,1442,977,1340
20210827_iPhone11Pro_BT_218.jpg,3024,4032,MorningGlory,961,1367,1000,1055
20210912_iPhoneSE_YL_98.jpg,3024,4032,MorningGlory,1598,656,1168,1457
20210912_iPhoneSE_YL_98.jpg,3024,4032,MorningGlory,1508,2946,1012,664
20210628_iPhoneSE_YL_138.jpg,3024,4032,PalmerAmaranth,681,1229,1723,1196
20210904_iPhoneSE_YL_28.jpg,3024,4032,Waterhemp,711,1700,1719,1551
20210904_iPhoneSE_YL_28.jpg,3024,4032,Carpetweed,1530,352,363,322
20210910_iPhoneSE_YL_213.jpg,4032,3024,Eclipta,636,765,604,583
20210910_iPhoneSE_YL_213.jpg,4032,3024,Eclipta,1178,331,1126,1307
20210910_iPhoneSE_YL_213.jpg,4032,3024,Eclipta,2228,1908,504,557
20210910_iPhoneSE_YL_213.jpg,4032,3024,Eclipta,2591,1152,830,803
20210712_iPhoneSE_YL_102.jpg,3024,4032,Carpetweed,865,1054,1395,2409
20210903_iPhone11Pro_BT_110.jpg,3024,4032,MorningGlory,750,1188,1332,1485
20210904_iPhoneSE_YL_102.jpg,4032,3024,Waterhemp,1011,369,1807,2216
20210812_iPhoneSE_YL_912.jpg,3023,3386,Purslane,462,505,1850,2756
20210903_iPhoneSE_YL_107.jpg,3024,4032,Sicklepod,850,967,1916,2057
20210910_iPhone11Pro_BT_4.jpg,3024,4032,Eclipta,891,1133,1063,1125
20210827_iPhoneSE_YL_4.jpg,4032,3024,MorningGlory,1671,642,865,1252
20210910_iPhoneSE_YL_51.jpg,3024,4032,Purslane,914,887,406,349
20210910_iPhoneSE_YL_51.jpg,3024,4032,Purslane,1350,712,619,472
20210910_iPhoneSE_YL_51.jpg,3024,4032,Waterhemp,1855,872,216,249
20210910_iPhoneSE_YL_51.jpg,3024,4032,Purslane,484,2525,1329,875
20210903_iPhoneSE_YL_83.jpg,4032,3024,Sicklepod,888,831,2414,1680
20210906_iPhoneSE_YL_36.jpg,4032,3024,SpottedSpurge,1171,937,2331,1291
20210906_iPhoneSE_YL_36.jpg,4032,3024,Waterhemp,3425,1741,550,541
20210906_iPhoneSE_YL_22.jpg,3024,4032,Waterhemp,738,1137,1950,1766
20210813_iPhoneSE_YL_1302.jpg,2552,2430,PricklySida,655,2,1586,2387
20210813_iPhoneSE_YL_1302.jpg,2552,2430,PricklySida,268,670,168,194
20210910_iPhoneSE_YL_92.jpg,4032,3024,PricklySida,1131,1184,1477,1140
20210906_iPhoneSE_YL_263.jpg,4032,3024,Waterhemp,889,129,1120,1072
20210906_iPhoneSE_YL_263.jpg,4032,3024,Waterhemp,2120,1060,820,907
20210906_iPhoneSE_YL_263.jpg,4032,3024,Waterhemp,2841,1730,904,982
20210809_iPhoneSE_YL_508.jpg,3023,3899,Waterhemp,854,992,1991,1998
20210904_NIKOND3300_YL_42.jpg,4000,6000,Waterhemp,1511,993,1005,1069
20210904_NIKOND3300_YL_42.jpg,4000,6000,Waterhemp,1261,3155,1917,1801
